amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest
2880.17,10781.28,7623.72,123.76,2763.63
141.16,522.37,353.21,278.99,398.74
6169.55,8712.19,3675.43,137543.18,142743.8
1445.65,961.28,0.0,6.86,1168.78
6.34,11.84,5.25,9.28,16.83
17687.28,21350.55,4263.26,326.71,19111.17
2566.39,5854.06,3146.46,17.49,2400.37
3211.77,15760.34,12437.57,5080.33,8393.69
8.61,11.32,1.72,143.66,152.68
156.57,302.95,173.25,29979.89,30116.6
76.49,287.83,213.16,10246.75,10316.78
11394.49,31805.7,18770.16,482.45,12092.42
893.18,623.15,0.0,29577.62,30592.2
4468.71,5485.81,1010.33,8.24,3814.85
147.04,692.36,573.46,1623.09,1791.21
21.01,20.26,1.57,2114.27,2136.2
399.92,1342.9,948.79,40.7,438.97
4.83,19.64,15.01,4.69,8.83
4668.91,7911.35,2841.56,979.64,5741.75
800.29,3011.37,2175.27,773.13,1526.57
2496.86,3157.35,280.69,3603.75,5789.97
66.07,117.7,42.25,28.28,104.39
16920.52,32203.12,17034.08,19.61,16673.28
8417.68,41953.36,35159.83,127653.49,134656.18
2997.25,4392.7,970.47,9.49,2769.52
42287.07,38365.72,0.0,161699.42,161713.09
181.36,846.16,675.89,7478.18,7691.4
4.03,4.95,1.47,2758.78,2762.4
10.9,48.58,36.84,114.16,125.09
1270.85,4355.27,3196.2,38018.73,39414.39
2214.67,6856.35,4928.04,60516.89,62429.05
16441.89,63811.37,47347.18,7636.72,23667.48
51.03,192.23,136.09,6692.71,6746.87
76.26,76.06,6.83,616.9,704.81
186.05,929.8,727.23,6.4,203.92
14.96,70.89,56.16,161025.74,161038.19
8.75,39.68,31.27,3.23,11.36
196.63,648.94,463.36,632.3,817.21
20.95,59.76,41.78,154.24,174.25
1128.14,3286.56,2233.95,13869.62,15197.04
138.99,78.84,0.0,8898.02,9011.2
4885.88,13424.51,9316.14,2720.43,7219.69
1483.84,4907.0,3151.14,6.18,1485.54
45.21,156.62,118.51,36.79,74.52
4867.51,9708.87,5109.98,7.66,4843.12
3800.47,9960.16,5998.08,129151.31,132354.54
88.88,298.94,198.05,11.09,111.98
36.41,88.38,57.16,113450.28,113483.34
1264.53,6107.18,5024.18,9.39,1285.56
9.56,35.13,25.08,35758.16,35768.17
16.43,8.31,0.0,1511.61,1526.76
2.9,1.75,0.0,25565.07,25567.8
3236.73,11672.78,8020.99,2905.54,6155.89
1078.86,2542.77,1646.51,12800.11,14010.78
1550.74,6633.48,4869.05,8424.74,9946.13
3061.2,3913.96,1418.98,47.56,3097.61
169.06,95.05,0.0,79660.67,79836.21
454.26,1020.44,479.76,3229.58,3670.25
9.57,36.48,26.27,25.1,35.54
7.62,37.13,28.03,78.76,84.87
1113.9,4986.31,3728.94,956.77,2063.1
188.64,505.24,350.98,44360.03,44580.59
440.15,1830.0,1477.21,17401.02,17861.58
2657.1,2169.49,21.7,75.38,2718.03
822.6,2529.68,1722.9,5288.81,6200.92
396.32,1846.59,1430.71,2.77,382.13
416.91,952.11,538.29,105.54,516.99
